wl,sci,sce
360,4.49000000,2.24000000
370,4.58000000,2.34000000
380,4.84000000,2.60000000
390,5.33000000,3.09000000
400,6.16000000,3.92000000
410,7.43000000,5.19000000
420,8.98000000,6.74000000
430,10.62000000,8.37000000
440,12.46000000,10.20000000
450,14.17000000,11.90000000
460,15.90000000,13.62000000
470,17.57000000,15.29000000
480,19.32000000,17.02000000
490,20.91000000,18.60000000
500,22.70000000,20.38000000
510,24.50000000,22.17000000
520,26.41000000,24.06000000
530,28.28000000,25.92000000
540,30.23000000,27.85000000
550,32.30000000,29.92000000
560,34.55000000,32.14000000
570,36.85000000,34.42000000
580,39.15000000,36.70000000
590,41.51000000,39.05000000
600,43.85000000,41.37000000
610,46.26000000,43.76000000
620,48.68000000,46.16000000
630,50.97000000,48.43000000
640,53.18000000,50.62000000
650,55.33000000,52.75000000
660,57.24000000,54.66000000
670,59.29000000,56.68000000
680,61.04000000,58.44000000
690,62.70000000,60.09000000
700,64.33000000,61.71000000
710,65.81000000,63.17000000
720,67.24000000,64.59000000
730,68.48000000,65.82000000
740,69.74000000,67.08000000
